-400,-220
-380,-100
-380,-20
-360,180
-360,260
-340,-260
-340,-180
-320,20
-320,100
-300,-340
-280,-140
-280,-60
-260,380
-260,300
-240,-300
-240,-220
-220,220
-220,140
-200,-380
-180,60
-180,-20
-160,280
-140,-100
-140,-180
-120,120
-120,400
-100,-260
-100,-340
-80,-40
-80,240
-80,320
-60,-420
-40,80
-40,-200
-40,160
0,0
0,-80
0,440
0,-360
0,360
40,-240
40,-160
40,280
40,200
80,120
80,-320
80,-400
80,40
100,340
120,-120
140,-40
140,180
160,-200
160,-280
180,-360
180,380
180,300
200,20
220,-140
220,220
220,140
240,-300
260,-380
280,340
280,60
280,-20
280,260
300,-100
300,-180
320,-260
340,180
340,100
380,260
400,20
400,-220
400,-140
400,-60
